공원명,지역,면적,경도,위도,분류,크기
남산도시자연공원,중구,2896887.0,126.9903773,37.5501402,대형,15
길동생태공원,강동구,80683.0,127.1547791,37.5403935,소형,3
서울대공원,과천시,9132690.0,127.01984650000001,37.4264494,대형,15
서울숲,성동구,480994.0,127.0417982,37.5430717,중형,7
월드컵공원,마포구,2284085.0,126.87890700000001,37.571805,대형,15
광화문시민열린마당,종로구,89481.0,126.9780227,37.575044899999995,소형,3
진관근린공원(구파발폭포),은평구,0.0,126.9192155,37.6370244,소형,3
중마루근린공원,영등포구,6456.0,126.9112668,37.519832,소형,3
응봉공원,성동구,80309.0,127.0217653,37.5572281,소형,3
매화근린공원,강서구,19804.0,126.86115,37.5575833,소형,3
성수근린공원,성동구,51977.0,127.05240230000001,37.5448144,소형,3
샛마을근린공원,강동구,11467.0,127.1471618,37.5504807,소형,3
여의도근린공원,영등포구,229539.0,126.922377,37.526129,중형,7
간데메근린공원,동대문구,151797.0,127.04886440000001,37.57324379999999,중형,7
훈련원근린공원,중구,1673460.0,127.0038188,37.5675245,대형,15
영등포근린공원,영등포구,61544.0,126.91066200000002,37.515423,소형,3
보라매근린공원,동작구,424106.0,126.91828899999999,37.492333,중형,7
어린이대공원,광진구,560552.0,127.0809212,37.5498987,중형,7
천호근린공원,강동구,266968.0,127.1263451,37.5444741,중형,7
용산가족공원,용산구,75900.0,126.98333500000001,37.522226,소형,3
독립근린공원,서대문구,11302172.0,126.956771,37.5738289,대형,15
낙산근린공원,종로구,201779.0,127.00758700000002,37.580477,중형,7
양재시민의숲,서초구,258991.0,127.03504199999999,37.471225,중형,7
관악산도시자연공원,관악구,1042081908.0,126.96413000000001,37.445208,대형,15
효창근린공원,용산구,1712941.0,126.95993,37.545234,대형,15
감로천생태공원(관악산),금천구,0.0,126.9079509,37.469625,소형,3
개운산근린공원,성북구,297926.0,127.0252858,37.596583700000004,중형,7
개웅산근린공원,구로구,411972.0,126.84857340000002,37.4888943,중형,7
경희궁,종로구,98470.0,126.9685341,37.570772999999996,소형,3
국립현충원,동작구,20387413.0,126.97368490000001,37.4998621,대형,15
계남근린공원,양천구,6037152.0,126.84796429999999,37.513835799999995,대형,15
고척근린공원,구로구,108120.0,126.85214950000001,37.5042944,중형,7
파리근린공원,양천구,296193.0,126.87639320000001,37.5349739,중형,7
허준공원,강서구,298438.0,126.8526745,37.5679874,중형,7
궁동근린공원,서대문구,126026.0,126.9229851,37.5690506,중형,7
궁산근린공원,강서구,1350027.0,126.838952,37.5735645,대형,15
까치산근린공원,동작구,384026.0,126.96407350000001,37.4845836,중형,7
꿩고개근린공원,강서구,180000.0,126.8157075,37.5801585,중형,7
노량진공원,동작구,416031.0,126.928607,37.510234000000004,중형,7
답십리근린공원,동대문구,160720.0,127.0626512,37.5750896,중형,7
대모산도시자연공원,강남구,2277252.0,127.0809639,37.4796489,대형,15
탑골근린공원,종로구,1959970.0,126.98828529999999,37.5710052,대형,15
갈산근린공원,양천구,138596.0,126.8689146,37.5082119,중형,7
천마근린공원,송파구,185295.0,127.1586644,37.5005173,중형,7
도곡근린공원,강남구,254648.0,127.0450338,37.490312700000004,중형,7
도산근린공원,강남구,298165.0,127.03502959999999,37.524675200000004,중형,7
청량공원,성북구,762642.0,127.0511145,37.6020055,중형,7
초안산근린공원,도봉구,664905.0,127.0455446,37.648315999999994,중형,7
동명근린공원,강동구,995999.0,127.1676703,37.5598341,중형,7
마로니에공원,종로구,5802.0,127.00278859999999,37.5802295,소형,3
자매근린공원,영등포구,0.0,126.9302895,37.5177329,소형,3
장지근린공원,송파구,585652.0,127.1387,37.4957083,중형,7
명일근린공원,강동구,6497096.0,127.16136409999999,37.553714299999996,대형,15
방화근린공원,강서구,72132.0,126.8132285,37.5819812,소형,3
아시아근린공원,송파구,660278.0,127.0762885,37.5102779,중형,7
배봉산근린공원,동대문구,265582.0,127.06416229999999,37.5812324,중형,7
안산도시자연공원,서대문구,20887049.0,126.9390273,37.5798246,대형,15
염창근린공원,강서구,112070.0,126.8689817,37.55797020000001,중형,7
백련근린공원,서대문구,993724.0,126.92861599999999,37.587966200000004,중형,7
오금근린공원,송파구,219167.0,127.13239569999999,37.5038715,중형,7
오동근린공원,강북구,13495564.0,127.03172690000001,37.6327957,대형,15
봉산도시자연공원,은평구,1511198.0,126.90201529999999,37.604071000000005,대형,15
온수도시자연공원,구로구,1097565.0,126.83695,37.5002598,대형,15
봉은공원,강남구,328018.0,127.05549609999998,37.5139026,중형,7
올림픽공원,송파구,0.0,127.12295900000001,37.520934000000004,소형,3
와룡근린공원,종로구,207790.0,126.9901672,37.59079439999999,중형,7
봉화산근린공원,중랑구,1018689.0,127.0923625,37.6106404,대형,15
북악산도시자연공원,종로구,954553.0,126.97372949999999,37.5929992,중형,7
북한산국립공원,강북구,1667848.0,127.00093799999999,37.624549,대형,15
외국인묘지공원,마포구,13224.0,126.911414,37.546797,소형,3
불광근린공원,은평구,130345.0,126.9298962,37.6188016,중형,7
불암산도시자연공원,노원구,5332422.0,127.09527140000002,37.6636719,대형,15
용마폭포공원,중랑구,5107964.0,127.0905888,37.5731968,대형,15
사육신공원,동작구,47832.0,126.94863600000001,37.5137049,소형,3
용왕산근린공원,양천구,213552.0,126.8783125,37.5429593,중형,7
사직근린공원,종로구,16809987.0,126.96740179999999,37.5759864,대형,15
우장산근린공원,강서구,3594352.0,126.844932,37.5541932,대형,15
삼일근린공원,동작구,36660.0,126.9743686,37.4860183,소형,3
삼청근린공원,종로구,380735.0,126.9842875,37.5895821,중형,7
인왕산도시자연공원,종로구,18074209.0,126.9578438,37.5849001,대형,15
상도근린공원,동작구,3593428.0,126.9385469,37.492298999999996,대형,15
일자산도시자연공원,강동구,632733.0,127.1574587,37.5431657,중형,7
쌍문근린공원,도봉구,328018.0,127.02713159999999,37.6531456,중형,7
수락산도시자연공원,노원구,66918853.0,127.08136329999999,37.699232,대형,15
송파나루근린공원(석촌호수),송파구,285757.0,127.09830020000001,37.5069328,중형,7
선유도근린공원,영등포구,110407.0,126.90014,37.543418,중형,7
손기정체육공원,중구,296822.0,126.9652702,37.5560189,중형,7
성북근린공원,성북구,137759.0,127.0078625,37.5948509,중형,7
봉제산공원,강서구,917190.0,126.85178359999999,37.5421979,중형,7
서울창포원,도봉구,51470.0,127.04793799999999,37.689585,소형,3
북서울꿈의숲,강북구,662543.0,127.0407344,37.623335499999996,중형,7
서서울호수공원,양천구,217946.0,126.83047890000002,37.5278392,중형,7
중랑캠핑숲,중랑구,179666.0,127.1093075,37.6049896,중형,7
솔밭근린공원,강북구,34955.0,127.01162409999999,37.652331,소형,3
금천체육공원(관악산),금천구,18083.0,126.908681,37.468164,소형,3
금천폭포근린공원,금천구,4835.0,126.90401270000001,37.446866299999996,소형,3
만수천공원(관악산),금천구,19650.0,126.9090028,37.4734274,소형,3
발바닥공원,도봉구,7000.0,127.03198200000001,37.6597135,소형,3
월천근린공원,도봉구,10712.0,127.0509895,37.647388899999996,소형,3
용두근린공원,동대문구,17182.0,127.03900420000001,37.5732791,소형,3
상암근린공원,마포구,1603493.0,126.8859012,37.576010600000004,대형,15
와우근린공원,마포구,874324.0,126.9289936,37.5517298,중형,7
금호근린공원,성동구,13467.0,127.01894569999999,37.5494726,소형,3
달맞이근린공원,성동구,46871.0,127.0212054,37.543564,소형,3
문정근린공원,송파구,49972.0,127.12758190000001,37.4862156,소형,3
문화예술공원,서초구,74385.0,127.03051699999999,37.467653999999996,소형,3
세종로공원,종로구,8868.0,126.9758875,37.5735,소형,3
샘말공원(관악산),관악구,10634.0,126.938511,37.4642128,소형,3
초안산생태공원,도봉구,22113.0,127.0405382,37.647948299999996,소형,3
푸른수목원,구로구,0.0,126.82406999999999,37.483028999999995,소형,3
서오능도시자연공원,은평구,1082847.0,126.91343379999999,37.637482299999995,대형,15
청계산도시자연공원,서초구,3692455.0,127.0424726,37.422434700000004,대형,15
개화근린공원,강서구,386500.0,126.8068278,37.581391700000005,중형,7
아차산생태공원,광진구,23450.0,127.1010031,37.551714200000006,소형,3
인능산도시자연공원,서초구,2400833.0,127.0666632,37.4482109,대형,15
구룡산,서초구,2752421.0,127.061567,37.468947299999996,대형,15
우면산도시자연공원,서초구,4180551.0,127.0091324,37.470484,대형,15
향림근린공원,은평구,147859.0,126.9240693,37.6293824,중형,7
신사근린공원,은평구,111650.0,126.91029479999999,37.5920771,중형,7
문화역 서울284,중구,0.0,126.9715923,37.5558722,소형,3
광평근린공원,강남구,519782.0,127.092184,37.4880445,중형,7
청담근린공원,강남구,59347.0,127.052453,37.521325899999994,소형,3
허브천문공원,강동구,25500.0,127.15339509999998,37.5372715,소형,3
연신내물빛공원,은평구,2560.0,126.9207354,37.619052,소형,3
나들이근린공원,중랑구,32000.0,127.11326100000001,37.6054218,소형,3
숭인근린공원,종로구,45615.0,127.0178267,37.5764419,소형,3
서일대뒷산공원,중랑구,631021.0,127.0987817,37.5877155,중형,7
용마도시자연공원(사가정공원),중랑구,109635.0,127.095997,37.579762200000005,중형,7
문화비축기지,마포구,140022.0,126.8932455,37.57171848,중형,7
율현공원,강남구,157535.0,127.11559399999999,37.472332,중형,7
